Iteration : 1
cluster 1 : 528
cluster 2 : 266
cluster 3 : 1916
cluster 4 : 517
cluster 5 : 626
cluster 6 : 411
cluster 7 : 577
cluster 8 : 356
cluster 9 : 120
cluster 10 : 325
cluster 11 : 702
cluster 12 : 556
cluster 13 : 303
cluster 14 : 315
cluster 15 : 314
cluster 16 : 172
cluster 17 : 461
cluster 18 : 237
cluster 19 : 1895
cluster 20 : 467
cluster 21 : 371
cluster 22 : 544
cluster 23 : 559
cluster 24 : 356
cluster 25 : 96
cluster 26 : 176
cluster 27 : 652
cluster 28 : 504
cluster 29 : 227
cluster 30 : 170
cluster 31 : 279
cluster 32 : 222
distortion : 2.8197
Iteration : 2
cluster 1 : 520
cluster 2 : 254
cluster 3 : 1950
cluster 4 : 465
cluster 5 : 585
cluster 6 : 382
cluster 7 : 551
cluster 8 : 341
cluster 9 : 148
cluster 10 : 336
cluster 11 : 579
cluster 12 : 647
cluster 13 : 297
cluster 14 : 399
cluster 15 : 374
cluster 16 : 171
cluster 17 : 444
cluster 18 : 239
cluster 19 : 1811
cluster 20 : 511
cluster 21 : 401
cluster 22 : 518
cluster 23 : 586
cluster 24 : 373
cluster 25 : 94
cluster 26 : 150
cluster 27 : 802
cluster 28 : 448
cluster 29 : 242
cluster 30 : 156
cluster 31 : 219
cluster 32 : 227
distortion : 2.55845
Iteration : 3
cluster 1 : 511
cluster 2 : 248
cluster 3 : 1922
cluster 4 : 463
cluster 5 : 574
cluster 6 : 367
cluster 7 : 529
cluster 8 : 311
cluster 9 : 159
cluster 10 : 312
cluster 11 : 510
cluster 12 : 726
cluster 13 : 308
cluster 14 : 486
cluster 15 : 412
cluster 16 : 174
cluster 17 : 431
cluster 18 : 246
cluster 19 : 1832
cluster 20 : 497
cluster 21 : 409
cluster 22 : 472
cluster 23 : 608
cluster 24 : 400
cluster 25 : 99
cluster 26 : 143
cluster 27 : 842
cluster 28 : 385
cluster 29 : 241
cluster 30 : 178
cluster 31 : 181
cluster 32 : 244
distortion : 2.48779
Iteration : 4
cluster 1 : 500
cluster 2 : 239
cluster 3 : 1904
cluster 4 : 460
cluster 5 : 583
cluster 6 : 353
cluster 7 : 523
cluster 8 : 293
cluster 9 : 180
cluster 10 : 258
cluster 11 : 477
cluster 12 : 791
cluster 13 : 316
cluster 14 : 535
cluster 15 : 432
cluster 16 : 182
cluster 17 : 415
cluster 18 : 267
cluster 19 : 1854
cluster 20 : 476
cluster 21 : 408
cluster 22 : 453
cluster 23 : 614
cluster 24 : 412
cluster 25 : 101
cluster 26 : 179
cluster 27 : 820
cluster 28 : 319
cluster 29 : 233
cluster 30 : 216
cluster 31 : 161
cluster 32 : 266
distortion : 2.43927
Iteration : 5
cluster 1 : 494
cluster 2 : 248
cluster 3 : 1878
cluster 4 : 460
cluster 5 : 608
cluster 6 : 336
cluster 7 : 515
cluster 8 : 297
cluster 9 : 191
cluster 10 : 231
cluster 11 : 473
cluster 12 : 824
cluster 13 : 325
cluster 14 : 553
cluster 15 : 445
cluster 16 : 192
cluster 17 : 404
cluster 18 : 275
