Iteration : 1
cluster 1 : 256
cluster 2 : 665
cluster 3 : 355
cluster 4 : 266
cluster 5 : 66
cluster 6 : 1234
cluster 7 : 169
cluster 8 : 421
cluster 9 : 584
cluster 10 : 367
cluster 11 : 574
cluster 12 : 1046
cluster 13 : 276
cluster 14 : 279
cluster 15 : 529
cluster 16 : 135
cluster 17 : 808
cluster 18 : 478
cluster 19 : 680
cluster 20 : 315
cluster 21 : 450
cluster 22 : 136
cluster 23 : 846
cluster 24 : 237
cluster 25 : 633
cluster 26 : 637
cluster 27 : 299
cluster 28 : 247
cluster 29 : 178
cluster 30 : 756
cluster 31 : 1030
cluster 32 : 268
distortion : 3.4297
Iteration : 2
cluster 1 : 193
cluster 2 : 491
cluster 3 : 580
cluster 4 : 453
cluster 5 : 146
cluster 6 : 751
cluster 7 : 193
cluster 8 : 390
cluster 9 : 649
cluster 10 : 413
cluster 11 : 417
cluster 12 : 849
cluster 13 : 386
cluster 14 : 490
cluster 15 : 660
cluster 16 : 177
cluster 17 : 808
cluster 18 : 201
cluster 19 : 549
cluster 20 : 267
cluster 21 : 638
cluster 22 : 171
cluster 23 : 1100
cluster 24 : 301
cluster 25 : 492
cluster 26 : 594
cluster 27 : 481
cluster 28 : 283
cluster 29 : 147
cluster 30 : 610
cluster 31 : 1022
cluster 32 : 318
distortion : 2.81829
Iteration : 3
cluster 1 : 232
cluster 2 : 495
cluster 3 : 627
cluster 4 : 545
cluster 5 : 190
cluster 6 : 656
cluster 7 : 245
cluster 8 : 444
cluster 9 : 670
cluster 10 : 365
cluster 11 : 312
cluster 12 : 814
cluster 13 : 373
cluster 14 : 680
cluster 15 : 671
cluster 16 : 187
cluster 17 : 734
cluster 18 : 192
cluster 19 : 497
cluster 20 : 204
cluster 21 : 631
cluster 22 : 178
cluster 23 : 1134
cluster 24 : 313
cluster 25 : 442
cluster 26 : 592
cluster 27 : 577
cluster 28 : 288
cluster 29 : 138
cluster 30 : 444
cluster 31 : 1014
cluster 32 : 336
distortion : 2.64615
Iteration : 4
cluster 1 : 242
cluster 2 : 505
cluster 3 : 671
cluster 4 : 551
cluster 5 : 217
cluster 6 : 619
cluster 7 : 259
cluster 8 : 461
cluster 9 : 681
cluster 10 : 348
cluster 11 : 271
cluster 12 : 832
cluster 13 : 347
cluster 14 : 801
cluster 15 : 681
cluster 16 : 194
cluster 17 : 666
cluster 18 : 168
cluster 19 : 474
cluster 20 : 179
cluster 21 : 648
cluster 22 : 180
cluster 23 : 1136
cluster 24 : 344
cluster 25 : 413
cluster 26 : 592
cluster 27 : 623
cluster 28 : 286
cluster 29 : 135
cluster 30 : 343
cluster 31 : 1012
cluster 32 : 341
distortion : 2.57384
Iteration : 5
cluster 1 : 245
cluster 2 : 505
cluster 3 : 711
cluster 4 : 547
cluster 5 : 245
cluster 6 : 602
cluster 7 : 244
cluster 8 : 480
cluster 9 : 695
cluster 10 : 338
cluster 11 : 246
cluster 12 : 829
cluster 13 : 346
cluster 14 : 907
cluster 15 : 678
cluster 16 : 195
cluster 17 : 620
cluster 18 : 144
cluster 19 : 472
cluster 20 : 177
cluster 21 : 670
cluster 22 : 180
cluster 23 : 1136
cluster 24 : 355
cluster 25 : 401
cluster 26 : 592
cluster 27 : 658
cluster 28 : 275
cluster 29 : 136
cluster 30 : 248
cluster 31 : 1012
cluster 32 : 331
distortion : 2.5253
Iteration : 6
cluster 1 : 251
cluster 2 : 504
cluster 3 : 719
cluster 4 : 546
cluster 5 : 262
cluster 6 : 584
cluster 7 : 241
cluster 8 : 493
cluster 9 : 707
cluster 10 : 342
cluster 11 : 219
cluster 12 : 811
cluster 13 : 344
cluster 14 : 977
cluster 15 : 696
cluster 16 : 197
cluster 17 : 588
cluster 18 : 156
cluster 19 : 470
cluster 20 : 174
cluster 21 : 663
cluster 22 : 178
cluster 23 : 1135
cluster 24 : 359
cluster 25 : 392
cluster 26 : 592
cluster 27 : 694
cluster 28 : 266
cluster 29 : 136
cluster 30 : 185
cluster 31 : 1012
cluster 32 : 327
distortion : 2.49283
Iteration : 7
cluster 1 : 255
cluster 2 : 504
cluster 3 : 729
cluster 4 : 543
cluster 5 : 274
cluster 6 : 567
cluster 7 : 228
cluster 8 : 496
cluster 9 : 711
cluster 10 : 351
cluster 11 : 185
cluster 12 : 805
cluster 13 : 344
cluster 14 : 987
cluster 15 : 705
cluster 16 : 197
cluster 17 : 575
cluster 18 : 159
cluster 19 : 470
cluster 20 : 179
cluster 21 : 665
cluster 22 : 178
cluster 23 : 1135
cluster 24 : 366
cluster 25 : 389
cluster 26 : 592
cluster 27 : 715
cluster 28 : 251
cluster 29 : 140
cluster 30 : 184
cluster 31 : 1012
cluster 32 : 329
distortion : 2.48231
Iteration : 8
cluster 1 : 260
cluster 2 : 505
cluster 3 : 740
cluster 4 : 541
cluster 5 : 292
cluster 6 : 549
cluster 7 : 222
cluster 8 : 491
cluster 9 : 712
cluster 10 : 357
cluster 11 : 155
cluster 12 : 799
cluster 13 : 343
cluster 14 : 988
cluster 15 : 706
cluster 16 : 199
cluster 17 : 565
cluster 18 : 157
cluster 19 : 471
cluster 20 : 181
cluster 21 : 665
cluster 22 : 177
cluster 23 : 1135
cluster 24 : 374
cluster 25 : 386
cluster 26 : 592
cluster 27 : 738
cluster 28 : 244
cluster 29 : 146
cluster 30 : 189
cluster 31 : 1012
cluster 32 : 329
distortion : 2.47639
